"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG","Charles Cooke",3000,"GS@NO 12/04/2017 08:00PM ET",2.750,"NO"
"C","Damian Jones",3000,"GS@NO 12/04/2017 08:00PM ET",0,"GS"
"C","Alexis Ajinca",3000,"GS@NO 12/04/2017 08:00PM ET",0,"NO"
"PF","Chris Boucher",3000,"GS@NO 12/04/2017 08:00PM ET",0,"GS"
"PG","Frank Jackson",3000,"GS@NO 12/04/2017 08:00PM ET",0,"NO"
"SF/PF","Solomon Hill",3000,"GS@NO 12/04/2017 08:00PM ET",0,"NO"
"PF/C","Eric Moreland",3000,"DET@SA 12/04/2017 08:30PM ET",7.566,"DET"
"PF/C","Jon Leuer",3000,"DET@SA 12/04/2017 08:30PM ET",11.813,"DET"
"PF/C","Joffrey Lauvergne",3000,"DET@SA 12/04/2017 08:30PM ET",8.205,"SA"
"PF/C","Henry Ellenson",3000,"DET@SA 12/04/2017 08:30PM ET",10.094,"DET"
"SG/SF","Reggie Bullock",3000,"DET@SA 12/04/2017 08:30PM ET",7.091,"DET"
"SF/PF","Davis Bertans",3000,"DET@SA 12/04/2017 08:30PM ET",5.147,"SA"
"C","Boban Marjanovic",3000,"DET@SA 12/04/2017 08:30PM ET",8.000,"DET"
"PG/SG","Derrick White",3000,"DET@SA 12/04/2017 08:30PM ET",5.167,"SA"
"PF","Matt Costello",3000,"DET@SA 12/04/2017 08:30PM ET",12.250,"SA"
"SG/SF","Darrun Hilliard",3000,"DET@SA 12/04/2017 08:30PM ET",2.167,"SA"
"SF","Luis Montero",3000,"DET@SA 12/04/2017 08:30PM ET",0,"DET"
"PG","Dwight Buycks",3000,"DET@SA 12/04/2017 08:30PM ET",0,"DET"
