"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Ish Smith",4000,"DET@SA 12/04/2017 08:30PM ET",18.898,"DET"
"SG/SF","DeAndre' Bembry",3900,"BKN@ATL 12/04/2017 07:30PM ET",11.469,"ATL"
"PG","Jarrett Jack",3900,"NY@IND 12/04/2017 07:00PM ET",19.197,"NY"
"PF/C","Dwight Powell",3900,"DEN@DAL 12/04/2017 08:30PM ET",15.636,"DAL"
"PG/SG","Devin Harris",3900,"DEN@DAL 12/04/2017 08:30PM ET",16.544,"DAL"
"PG/SG","Malik Monk",3900,"ORL@CHA 12/04/2017 07:00PM ET",13.421,"CHA"
"PF/C","Marquese Chriss",3900,"PHO@PHI 12/04/2017 07:00PM ET",17.052,"PHO"
"PG","Patty Mills",3900,"DET@SA 12/04/2017 08:30PM ET",19.727,"SA"
"SG/SF","Tony Snell",3800,"MIL@BOS 12/04/2017 07:30PM ET",16.845,"MIL"
"SF/PF","Jeff Green",3800,"CLE@CHI 12/04/2017 08:00PM ET",18.304,"CLE"
"PG/SG","David Nwaba",3800,"CLE@CHI 12/04/2017 08:00PM ET",19.306,"CHI"
"PG","Derrick Rose",3800,"CLE@CHI 12/04/2017 08:00PM ET",19.786,"CLE"
"PF/C","Tristan Thompson",3800,"CLE@CHI 12/04/2017 08:00PM ET",13.781,"CLE"
"SF/PF","Jonas Jerebko",3800,"WAS@UTA 12/04/2017 09:00PM ET",13.708,"UTA"
"SG/SF","Glenn Robinson III",3800,"NY@IND 12/04/2017 07:00PM ET",0,"IND"
"SG/SF","Dillon Brooks",3800,"MIN@MEM 12/04/2017 08:00PM ET",17.375,"MEM"
"PG/SG","Tyus Jones",3800,"MIN@MEM 12/04/2017 08:00PM ET",13.152,"MIN"
"SF/PF","Chandler Parsons",3800,"MIN@MEM 12/04/2017 08:00PM ET",16.722,"MEM"
"PG","Emmanuel Mudiay",3800,"DEN@DAL 12/04/2017 08:30PM ET",19.523,"DEN"
"PG/SG","Yogi Ferrell",3800,"DEN@DAL 12/04/2017 08:30PM ET",17.163,"DAL"
"PF/C","Frank Kaminsky",3800,"ORL@CHA 12/04/2017 07:00PM ET",19.338,"CHA"
"PG/SG","D.J. Augustin",3800,"ORL@CHA 12/04/2017 07:00PM ET",17.844,"ORL"
"PG/SG","Markelle Fultz",3800,"PHO@PHI 12/04/2017 07:00PM ET",12.438,"PHI"
"PF/C","Thon Maker",3700,"MIL@BOS 12/04/2017 07:30PM ET",12.869,"MIL"
"PF/C","Daniel Theis",3700,"MIL@BOS 12/04/2017 07:30PM ET",11.943,"BOS"
"SF/PF","Jae Crowder",3700,"CLE@CHI 12/04/2017 08:00PM ET",15.554,"CLE"
"SG/SF","Kyle Korver",3700,"CLE@CHI 12/04/2017 08:00PM ET",17.315,"CLE"
"SG/SF","Thabo Sefolosha",3700,"WAS@UTA 12/04/2017 09:00PM ET",17.409,"UTA"
"SG/SF","James Ennis III",3700,"MIN@MEM 12/04/2017 08:00PM ET",14.905,"MEM"
"SF/PF","Trey Lyles",3700,"DEN@DAL 12/04/2017 08:30PM ET",10.279,"DEN"
"SF/PF","Juancho Hernangomez",3700,"DEN@DAL 12/04/2017 08:30PM ET",9.818,"DEN"
"SF/PF","Marvin Williams",3700,"ORL@CHA 12/04/2017 07:00PM ET",19.060,"CHA"
"SG/SF","Terrence Ross",3700,"ORL@CHA 12/04/2017 07:00PM ET",18.795,"ORL"
"PF/C","Amir Johnson",3700,"PHO@PHI 12/04/2017 07:00PM ET",16.350,"PHI"
"PF/C","Richaun Holmes",3700,"PHO@PHI 12/04/2017 07:00PM ET",11.056,"PHI"
"SG/SF","Andre Iguodala",3700,"GS@NO 12/04/2017 08:00PM ET",17.313,"GS"
"SG/SF","E'Twaun Moore",3700,"GS@NO 12/04/2017 08:00PM ET",20.522,"NO"
"SG/SF","Stanley Johnson",3700,"DET@SA 12/04/2017 08:30PM ET",16.526,"DET"
"PG","Tony Parker",3700,"DET@SA 12/04/2017 08:30PM ET",15.083,"SA"
"PG/SG","Malcolm Delaney",3600,"BKN@ATL 12/04/2017 07:30PM ET",12.559,"ATL"
"C","Aron Baynes",3600,"MIL@BOS 12/04/2017 07:30PM ET",15.156,"BOS"
"PF/C","Gorgui Dieng",3600,"MIN@MEM 12/04/2017 08:00PM ET",15.150,"MIN"
"C","Cody Zeller",3600,"ORL@CHA 12/04/2017 07:00PM ET",17.882,"CHA"
"PF","Jared Dudley",3600,"PHO@PHI 12/04/2017 07:00PM ET",11.611,"PHO"
"PG/SG","Shaun Livingston",3600,"GS@NO 12/04/2017 08:00PM ET",11.226,"GS"
"SG/SF","Manu Ginobili",3600,"DET@SA 12/04/2017 08:30PM ET",15.645,"SA"
"PG/SG","Bryn Forbes",3600,"DET@SA 12/04/2017 08:30PM ET",10.548,"SA"
"PG/SG","Sean Kilpatrick",3500,"BKN@ATL 12/04/2017 07:30PM ET",9.917,"BKN"
"C","Mike Muscala",3500,"BKN@ATL 12/04/2017 07:30PM ET",16.333,"ATL"
"PG/SF","DeAndre Liggins",3500,"MIL@BOS 12/04/2017 07:30PM ET",7.667,"MIL"
"SG/SF","Paul Zipser",3500,"CLE@CHI 12/04/2017 08:00PM ET",11.111,"CHI"
"PG/SG","Iman Shumpert",3500,"CLE@CHI 12/04/2017 08:00PM ET",12.192,"CLE"
"SG","Jodie Meeks",3500,"WAS@UTA 12/04/2017 09:00PM ET",11.602,"WAS"
"SG/SF","Joe Johnson",3500,"WAS@UTA 12/04/2017 09:00PM ET",11.656,"UTA"
"PG","Cory Joseph",3500,"NY@IND 12/04/2017 07:00PM ET",18.109,"IND"
"PG/SG","Frank Ntilikina",3500,"NY@IND 12/04/2017 07:00PM ET",14.278,"NY"
"SF/PF","Michael Beasley",3500,"NY@IND 12/04/2017 07:00PM ET",12.983,"NY"
"SG","Jamal Crawford",3500,"MIN@MEM 12/04/2017 08:00PM ET",14.924,"MIN"
"SF/PF","Nemanja Bjelica",3500,"MIN@MEM 12/04/2017 08:00PM ET",13.514,"MIN"
"SG/SF","Shabazz Muhammad",3500,"MIN@MEM 12/04/2017 08:00PM ET",7.250,"MIN"
"SG/SF","Ben McLemore",3500,"MIN@MEM 12/04/2017 08:00PM ET",13.136,"MEM"
"SF/PF","Jonathan Isaac",3500,"ORL@CHA 12/04/2017 07:00PM ET",16.229,"ORL"
"PF/C","David West",3500,"GS@NO 12/04/2017 08:00PM ET",15.905,"GS"
"PG","Dejounte Murray",3500,"DET@SA 12/04/2017 08:30PM ET",17.420,"SA"
"SG","Brandon Paul",3500,"DET@SA 12/04/2017 08:30PM ET",8.213,"SA"
"C","Tyler Zeller",3400,"BKN@ATL 12/04/2017 07:30PM ET",15.839,"BKN"
"PF/C","Jarrett Allen",3400,"BKN@ATL 12/04/2017 07:30PM ET",12.946,"BKN"
"C","Miles Plumlee",3400,"BKN@ATL 12/04/2017 07:30PM ET",7.667,"ATL"
"PF/C","Channing Frye",3400,"CLE@CHI 12/04/2017 08:00PM ET",9.940,"CLE"
"C","Ian Mahinmi",3400,"WAS@UTA 12/04/2017 09:00PM ET",9.818,"WAS"
"PF/C","Jason Smith",3400,"WAS@UTA 12/04/2017 09:00PM ET",5.938,"WAS"
"PF/C","Guillermo Hernangomez",3400,"NY@IND 12/04/2017 07:00PM ET",10.865,"NY"
"PF/C","Al Jefferson",3400,"NY@IND 12/04/2017 07:00PM ET",16.725,"IND"
"PF/C","Jarell Martin",3400,"MIN@MEM 12/04/2017 08:00PM ET",11.810,"MEM"
"PG/SG","Andrew Harrison",3400,"MIN@MEM 12/04/2017 08:00PM ET",10.953,"MEM"
"SG/SF","Arron Afflalo",3400,"ORL@CHA 12/04/2017 07:00PM ET",4.956,"ORL"
"PF/C","Dragan Bender",3400,"PHO@PHI 12/04/2017 07:00PM ET",13.417,"PHO"
"PG/SG","Jerryd Bayless",3400,"PHO@PHI 12/04/2017 07:00PM ET",17.234,"PHI"
"PG/SG","Jameer Nelson",3400,"GS@NO 12/04/2017 08:00PM ET",17.667,"NO"
"SF/PF","Omri Casspi",3400,"GS@NO 12/04/2017 08:00PM ET",14.250,"GS"
"SG/SF","Patrick McCaw",3400,"GS@NO 12/04/2017 08:00PM ET",9.125,"GS"
"SF/PF","Anthony Tolliver",3400,"DET@SA 12/04/2017 08:30PM ET",13.618,"DET"
"SG","Luke Kennard",3400,"DET@SA 12/04/2017 08:30PM ET",11.912,"DET"
"PF/C","Quincy Acy",3300,"BKN@ATL 12/04/2017 07:30PM ET",12.676,"BKN"
"PG","Isaiah Taylor",3300,"BKN@ATL 12/04/2017 07:30PM ET",12.267,"ATL"
"PF","Tyler Cavanaugh",3300,"BKN@ATL 12/04/2017 07:30PM ET",8.423,"ATL"
"PG/SG","Isaiah Whitehead",3300,"BKN@ATL 12/04/2017 07:30PM ET",11.719,"BKN"
"SF/PF","Doug McDermott",3300,"NY@IND 12/04/2017 07:00PM ET",14.143,"NY"
"C","Joakim Noah",3300,"NY@IND 12/04/2017 07:00PM ET",5.250,"NY"
"PF/C","Brandan Wright",3300,"MIN@MEM 12/04/2017 08:00PM ET",13.234,"MEM"
"PF/C","Bismack Biyombo",3300,"ORL@CHA 12/04/2017 07:00PM ET",12.913,"ORL"
"SG/SF","Dwayne Bacon",3300,"ORL@CHA 12/04/2017 07:00PM ET",11.363,"CHA"
"PG/SF","Mario Hezonja",3300,"ORL@CHA 12/04/2017 07:00PM ET",7.042,"ORL"
"SG","Troy Daniels",3300,"PHO@PHI 12/04/2017 07:00PM ET",9.063,"PHO"
"C","Zaza Pachulia",3300,"GS@NO 12/04/2017 08:00PM ET",15.033,"GS"
"SF/PF","Dante Cunningham",3300,"GS@NO 12/04/2017 08:00PM ET",12.598,"NO"
"PF/C","Jordan Bell",3300,"GS@NO 12/04/2017 08:00PM ET",12.118,"GS"
"C","Timofey Mozgov",3200,"BKN@ATL 12/04/2017 07:30PM ET",11.703,"BKN"
"PG/SG","Matthew Dellavedova",3200,"MIL@BOS 12/04/2017 07:30PM ET",12.962,"MIL"
"SF/PF","Mirza Teletovic",3200,"MIL@BOS 12/04/2017 07:30PM ET",13.175,"MIL"
"SG/SF","Semi Ojeleye",3200,"MIL@BOS 12/04/2017 07:30PM ET",6.457,"BOS"
"PG","Shane Larkin",3200,"MIL@BOS 12/04/2017 07:30PM ET",5.809,"BOS"
"PF/C","Ante Zizic",3200,"CLE@CHI 12/04/2017 08:00PM ET",3.536,"CLE"
"PF","Mike Scott",3200,"WAS@UTA 12/04/2017 09:00PM ET",13.225,"WAS"
"PG","Raul Neto",3200,"WAS@UTA 12/04/2017 09:00PM ET",10.571,"UTA"
"SF/PF","Lance Thomas",3200,"NY@IND 12/04/2017 07:00PM ET",7.903,"NY"
"SG","Damyean Dotson",3200,"NY@IND 12/04/2017 07:00PM ET",4.500,"NY"
"PF/C","Deyonta Davis",3200,"MIN@MEM 12/04/2017 08:00PM ET",10.639,"MEM"
"C","Nerlens Noel",3200,"DEN@DAL 12/04/2017 08:30PM ET",12.132,"DAL"
"PF","Maxi Kleber",3200,"DEN@DAL 12/04/2017 08:30PM ET",9.588,"DAL"
"PG","Shelvin Mack",3200,"ORL@CHA 12/04/2017 07:00PM ET",15.014,"ORL"
"SG/SF","Timothe Luwawu-Cabarrot",3200,"PHO@PHI 12/04/2017 07:00PM ET",11.548,"PHI"
"C","Alan Williams",3200,"PHO@PHI 12/04/2017 07:00PM ET",0,"PHO"
"SG","Nick Young",3200,"GS@NO 12/04/2017 08:00PM ET",10.875,"GS"
"PG/SG","Ian Clark",3200,"GS@NO 12/04/2017 08:00PM ET",9.300,"NO"
"PG","Antonio Blakeney",3100,"CLE@CHI 12/04/2017 08:00PM ET",10.682,"CHI"
